gene,rho_tcga,rho_adj_purity,rho_ccle,p_ccle,n_ccle,fdr_ccle
UNC5D,-0.1795822185923888,-0.1494403149617627,-0.1506023175209668,0.40283279016874296,33,0.8139396965463588
KCNJ2,0.2133567755883547,0.1822874567014983,-0.15073529411764705,0.4024127489932253,33,0.8139396965463588
EFNA3,0.347632713494476,0.3840842743072774,-0.15581098974315818,0.38656729052430494,33,0.8139396965463588
NETO2,0.2761431918425865,0.3121234329393474,-0.16243315508021391,0.3664479855237246,33,0.8139396965463588
TBX18,0.2646472084406285,0.1834323838644551,-0.17163867361672372,0.3395351585415052,33,0.8139396965463588
KIF20A,0.3377251898838509,0.2693792901086488,-0.17297568373253072,0.33572925696439593,33,0.8139396965463588
OGDHL,-0.3806536580782882,-0.3343163030665905,-0.17981283422459893,0.3166773387949127,33,0.8139396965463588
APOH,0.1462952729907969,0.0666408003711418,-0.22664912905327148,0.20466229674867456,33,0.6372439694220094
S100A3,0.2762200141180547,0.2420480857168689,-0.22794117647058826,0.20202380018198193,33,0.6372439694220094
MOGAT3,0.1650093989926046,0.164192529379926,-0.24443659945501675,0.1703937959406124,33,0.5926383641164565
TFPI,0.3177029767108161,0.3128496924879288,-0.2523395721925134,0.15656086744611752,33,0.5926383641164565
GNGT1,0.1658234103692902,0.1575129703842149,-0.273025560542546,0.12421695150522159,33,0.5508504035738291
PIP5K1B,-0.250295846534379,-0.2519550317894057,-0.28241978609625673,0.11128745460033403,33,0.5426140120109609
PLA2G1B,0.2249180821931123,0.1680554411830384,-0.29660529498418464,0.0937133895163997,33,0.5135493745498703
PMCH,0.2503639442157611,0.1678057638960254,-0.2993812721026507,0.09053694632505495,33,0.5135493745498703
FOLH1,0.22581660013236,0.2179968521823763,-0.30487721791655376,0.08449171001442352,33,0.5032767074772183
SOX6,-0.381740646511333,-0.3339016789625805,-0.3161764705882353,0.07304248943670587,33,0.46271734373182843
CENPA,0.274046793018289,0.1940690485681825,-0.3235294117647059,0.06626596172363852,33,0.46271734373182843
APOC1,0.2456025959246299,0.1672617214480234,-0.3315508021390374,0.05944560281481907,33,0.46271734373182843
ENAM,-0.3370937889478341,-0.289214604062192,-0.37833324782027267,0.0299327964627288,33,0.3154456242610651
NDC80,0.238722982019562,0.1505074814705038,-0.4050802139037434,0.019359827804120943,33,0.2652296409164569
