gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
MIA2,0.4698467567962121,1.7126510940638965e-11,184,0.48727547453838477,6.391338419780175e-11,161,0.5860272485997561,2.912156321010859e-18,3.0970661290322568,1.4363965053763437,up_in_TGM2high,1.880911552428069e-10,1.0164350396965698e-09,4.797394360402099e-17
GALNT8,0.46963112560981496,1.7544143731219977e-11,184,0.4725108681765126,2.8185064862013185e-10,161,0.5025742088905731,4.1889137912296557e-13,1.5971241935483866,0.7346862231182796,up_in_TGM2high,1.8935575820247768e-10,3.2180622590679003e-09,1.5334853995963536e-12
CLCN4,0.4662210321511818,2.5623340047369836e-11,184,0.43654153779635385,7.893492773932389e-09,161,0.5023407652808815,4.311509156354431e-13,2.3864758064516147,1.478389247311828,up_in_TGM2high,2.71867980841585e-10,5.0421698739608936e-08,1.569188797603415e-12
CCDC68,0.46516345283273297,2.8792914673600916e-11,184,0.4251699465888952,2.0936499280093814e-08,161,0.5474697203755947,1.0609089082867532e-15,2.811837096774192,1.358800672043012,up_in_TGM2high,3.004060764279029e-10,1.031988074751081e-07,8.974715899831182e-15
TMC5,0.46270347325229716,3.7707768789192384e-11,184,0.4504198392671016,2.283910675960176e-09,161,0.6128607113414348,2.956519135553783e-20,4.575791935483871,2.9671944220430104,up_in_TGM2high,3.8072682680700697e-10,1.809782383735532e-08,1.0282116549203713e-18
CDH17,0.46202435326770497,4.0607547290608675e-11,184,0.4655920511055077,5.51569889635542e-10,161,0.6042113463728611,1.3610773906588351e-19,4.851977419354839,3.041270698924732,up_in_TGM2high,4.0349721593525445e-10,5.300846739055152e-09,4.057306888344908e-18
ATP2A3,0.461419767207277,4.337024425508489e-11,184,0.4143239546391892,5.136229114230903e-08,161,0.5263880270766887,1.9617214878120068e-14,1.916587096774196,0.8433369623655942,up_in_TGM2high,4.242152016200491e-10,2.169001241749879e-07,1.0496048302310395e-13
RIPK3,0.459996917801622,5.061093858014984e-11,184,0.41768386706540767,3.902798987082808e-08,161,0.5496128234294443,7.795723895902091e-16,1.5443854838709674,1.108189381720429,up_in_TGM2high,4.800370841086939e-10,1.6966334485512762e-07,6.777948831714874e-15
NOSTRIN,0.4590433626784303,5.610590189660178e-11,184,0.4113168560832051,6.550682144033036e-08,161,0.5999930789530636,2.8185769979451297e-19,2.5575838709677434,1.4325537634408612,up_in_TGM2high,5.242133520488465e-10,2.5953968494713167e-07,7.057716802854605e-18
YPEL2,0.45748299974957135,6.636840770474729e-11,184,0.34109589593480616,1.0155556896392377e-05,161,0.4703960657030174,1.8299529854108628e-11,1.049979032258065,0.6084823924731193,up_in_TGM2high,6.109797532819383e-10,1.9929086574111688e-05,4.510041609713386e-11
SUSD1,0.455281373543894,8.39982981144164e-11,184,0.5241726202738913,1.131771618353928e-12,161,0.48290132148206594,4.417861892513197e-12,0.8074016129032273,0.5915684139784938,up_in_TGM2high,7.620715162264445e-10,4.428056456809743e-11,1.2524088096869752e-11
SHROOM4,0.45263742397446255,1.1121761697215751e-10,184,0.3471711330664795,6.870217121627158e-06,161,0.40905584021764474,8.965381575017832e-09,1.286964516129034,0.6929297043010774,up_in_TGM2high,9.946032603510084e-10,1.4193913921249507e-05,1.4427580632290908e-08
