gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
LOC100127888,0.33102504348072814,4.438701314848504e-06,184,0.3542461279637869,4.313273439035381e-06,161,0.4793220641862381,6.6747716533425185e-12,1.8212467741935487,1.3879347446236547,up_in_TGM2high,8.100953420102518e-06,9.507426664916016e-06,1.8239194803764037e-11
C20orf56,0.35555492236750874,7.310696435774091e-07,184,0.35382169088039367,4.436831017626747e-06,161,0.46116697530010775,5.0373239559388914e-11,3.487079032258065,1.8578818548387093,up_in_TGM2high,1.640321135768667e-06,9.74546041064682e-06,1.0949183320894951e-10
IL7,0.4107067866155535,7.0102561063849585e-09,184,0.3536193865606924,4.4968986361290775e-06,161,0.4961828421328279,9.155586643155845e-13,1.289353225806451,0.7648786962365595,up_in_TGM2high,3.157136922731643e-08,9.842862049709099e-06,3.081396364847075e-12
CAPN5,0.39054920922347863,4.234013841525324e-08,184,0.35352500395795916,4.525185664506976e-06,161,0.5434566176547705,1.8780922400246066e-15,2.2741354838709675,1.591614448924732,up_in_TGM2high,1.4023770713200282e-07,9.870265595753893e-06,1.433763100311468e-14
TFF1,0.35143310832607727,1.0006017097392234e-06,184,0.3529064941069404,4.714777374856457e-06,161,0.4680351631560038,2.3778758130798443e-11,4.095706451612903,2.8204221774193563,up_in_TGM2high,2.1524971487860957e-06,1.0248092488403269e-05,5.638447950712055e-11
SLC26A3,0.3318605813373943,4.184664844101923e-06,184,0.35221631583452034,4.935227146738561e-06,161,0.42119418730238406,2.8972856640964897e-09,2.093516129032258,0.8578604166666668,up_in_TGM2high,7.727434195893226e-06,1.0679793578529823e-05,4.996421007505241e-09
EMB,0.39535358594517533,2.7880373028553393e-08,184,0.3521787320401525,4.9475082073061485e-06,161,0.3913856481222769,4.291455271290716e-08,1.5094387096774184,0.9836852822580636,up_in_TGM2high,9.750342746298561e-08,1.0679793578529823e-05,6.291454332149856e-08
ZG16B,0.3792587312900926,1.1013601920651139e-07,184,0.3516572837459239,5.12091848567478e-06,161,0.5309764705268822,1.0576475579907157e-14,2.9786145161290336,2.658383333333333,up_in_TGM2high,3.037231190452693e-07,1.1016133924510007e-05,6.018976102747164e-14
PPYR1,0.3307064013407563,4.539386771191517e-06,184,0.35122377908667884,5.269455183355745e-06,161,0.36021284840823814,5.481449797130406e-07,1.5722435483870965,1.3178410618279577,up_in_TGM2high,8.21287895597078e-06,1.1296845701303756e-05,7.148724110424238e-07
GPRC5C,0.3226881804322165,7.916868307035941e-06,184,0.3494613365374747,5.916470932728563e-06,161,0.39536528693328477,3.0401462064866985e-08,1.017704838709678,1.0277207661290326,up_in_TGM2high,1.354087311531284e-05,1.2640651207809147e-05,4.5312655363349364e-08
